;MES;ANO;1;2;3;4;5;6
510;7;1973;1191;1431;464;2381;1482;1736
511;8;1973;1005;1090;395;2408;1137;1364
512;9;1973;866;945;443;3562;1124;1856
513;10;1973;1040;1532;519;3048;1411;1954
514;11;1973;1708;2860;616;1784;1667;1476
515;12;1973;2912;3158;900;884;1792;1575
516;1;1974;4471;3700;1592;1474;3757;3230
517;2;1974;2889;2445;1141;1497;3475;2145
518;3;1974;3433;4821;1783;1350;2453;2902
519;4;1974;3065;4485;1200;780;4123;1738
520;5;1974;1829;2707;609;578;2626;1262
521;6;1974;1536;1945;630;1194;2331;1785
522;7;1974;1346;1510;554;1270;1992;1429
523;8;1974;977;1273;397;946;1937;876
524;9;1974;769;948;359;1511;1522;1141
525;10;1974;878;1335;425;687;1524;1246
526;11;1974;935;1186;465;994;1732;1367
527;12;1974;2183;2291;951;932;1773;1746
528;1;1975;3331;3382;1196;1205;3507;2073
529;2;1975;3239;2824;1338;1101;2255;1789
530;3;1975;2397;1936;1090;977;2731;1599
531;4;1975;1802;2434;697;628;2849;1067
532;5;1975;1255;1533;503;475;1929;894
533;6;1975;1125;1089;425;719;1389;875
534;7;1975;1105;1001;449;752;1428;999
535;8;1975;829;729;358;1352;1396;912
536;9;1975;693;548;305;1897;1234;672
537;10;1975;1096;814;521;3767;1720;2009
538;11;1975;1684;1764;558;1811;1791;1693
539;12;1975;3091;2084;1169;3172;2418;3285
540;1;1976;2553;2118;1144;1924;3490;2241
541;2;1976;3277;2396;1944;1434;3455;2569
542;3;1976;4014;2747;1620;1137;3047;1927
543;4;1976;3262;1993;1060;1206;2825;1343
544;5;1976;2085;1461;867;908;2362;1255
545;6;1976;2125;1116;1440;2833;2160;2711
546;7;1976;1998;910;1204;1191;1662;1734
547;8;1976;1815;709;1058;2228;1761;2533
548;9;1976;2286;894;1175;1758;1799;2282
549;10;1976;2124;1193;1354;1265;2081;2172
550;11;1976;2804;2237;1065;1917;1990;2262
551;12;1976;4229;4814;1195;1373;2029;2116
552;1;1977;5234;4967;1961;1481;3445;2964
553;2;1977;4886;4430;1508;1541;5165;2570
554;3;1977;2908;2574;879;1209;2600;1456
555;4;1977;3279;2829;1261;1115;2516;2148
556;5;1977;1969;1915;743;476;2216;1271
557;6;1977;1649;1569;737;798;2123;1436
558;7;1977;1255;1171;552;709;1912;990
559;8;1977;961;866;471;915;1486;859
560;9;1977;1320;1000;602;854;1810;865
561;10;1977;1178;1057;559;1691;1777;869
562;11;1977;1826;1831;675;1415;2326;1018
563;12;1977;3307;3239;1738;1287;3422;1831
564;1;1978;4465;5096;1137;503;4800;1186
565;2;1978;2715;3152;715;361;3019;800
566;3;1978;2801;4101;984;506;3604;1163
567;4;1978;1788;3052;492;285;2412;759
568;5;1978;1642;2131;578;211;2189;861
569;6;1978;1674;1905;613;316;2476;822
570;7;1978;1270;1566;614;1416;1952;1432
571;8;1978;925;1148;446;1193;1879;995
572;9;1978;913;1049;479;1249;2012;1584
573;10;1978;1118;1182;385;634;1589;863
574;11;1978;2088;2202;808;1035;1779;1166
575;12;1978;2783;4081;950;864;2556;1170
576;1;1979;3373;5972;1126;533;2771;883
577;2;1979;4602;7731;844;353;3125;870
578;3;1979;3276;4874;666;471;3149;683
579;4;1979;2215;3479;534;597;2388;596
580;5;1979;2025;2442;646;3649;2145;1067
581;6;1979;1611;2038;479;974;1813;753
582;7;1979;1347;1675;452;812;1879;664
583;8;1979;1326;1417;521;1323;1475;820
584;9;1979;1650;1526;691;1735;1981;1493
585;10;1979;1324;1426;622;3950;2340;1431
586;11;1979;1877;2056;644;3764;1942;1448
587;12;1979;2927;2629;1044;2081;2526;1492
588;1;1980;5248;5665;1022;1508;2986;1564
589;2;1980;4493;7713;1352;1173;3915;2158
590;3;1980;3113;4279;1071;1659;4957;2657
591;4;1980;3390;3821;937;779;2866;1714
592;5;1980;2098;2534;595;1048;2640;1268
593;6;1980;1726;1956;555;758;2180;984
594;7;1980;1670;1669;549;1769;2071;1336
595;8;1980;1213;1283;453;1870;1771;1112
596;9;1980;1203;1244;445;2947;1955;1545
597;10;1980;1183;1228;429;1795;1978;1246
598;11;1980;1696;1882;474;1495;1770;904
599;12;1980;3552;3909;963;2139;2464;1829
600;1;1981;5025;4927;1583;2511;2538;2556
601;2;1981;3541;2948;841;1681;3809;1370
602;3;1981;2646;3086;622;766;2636;971
603;4;1981;2029;3203;542;872;2618;802
604;5;1981;1552;1959;485;860;2127;848
605;6;1981;1565;1637;539;714;2220;787
606;7;1981;1175;1323;399;470;1613;631
607;8;1981;1094;1079;394;378;1661;580
608;9;1981;853;898;333;437;1441;455
609;10;1981;1718;1717;554;1131;1702;1096
610;11;1981;2715;3961;986;1553;2085;1242
611;12;1981;4428;5117;1008;2841;2553;1955
612;1;1982;4846;7857;1455;986;1486;1305
613;2;1982;4510;6585;1482;975;3733;1717
614;3;1982;5991;7998;1604;763;3421;1449
615;4;1982;3958;5594;922;349;4059;854
616;5;1982;2554;3617;669;357;2559;701
617;6;1982;2271;2855;900;1998;2908;1787
618;7;1982;1899;2247;956;4786;2949;3016
619;8;1982;1578;1858;601;1559;2270;1322
620;9;1982;1288;1630;589;806;2070;924
621;10;1982;1902;2115;1064;2744;2483;1680
622;11;1982;1941;2322;997;5883;3117;3057
623;12;1982;3774;3398;2034;3416;4071;5277
624;1;1983;7005;7680;2661;1658;5390;3495
625;2;1983;7938;9931;3031;1605;5600;2727
626;3;1983;6244;7276;2333;3472;4863;3089
627;4;1983;5105;5774;1701;2000;3998;2113
628;5;1983;3651;3708;1635;6266;3963;3686
629;6;1983;4748;2995;3663;4811;6044;9044
630;7;1983;2995;2406;1436;11670;3507;3983
631;8;1983;2236;1916;1008;3254;2620;1881
632;9;1983;3379;2082;1531;3018;2544;3231
633;10;1983;4041;2639;1564;3165;2846;2590
634;11;1983;4154;3247;1505;2144;2833;2176
635;12;1983;5348;5707;1514;1354;2340;1673
636;1;1984;5124;4699;1604;1053;4010;1549
637;2;1984;3387;3417;1279;791;3822;1348
638;3;1984;2508;3097;815;952;3092;955
639;4;1984;2296;3684;811;1226;3095;1114
640;5;1984;2236;2484;777;1398;2854;1285
641;6;1984;1484;1697;551;2954;2248;970
642;7;1984;1238;1410;515;1289;1951;848
643;8;1984;1270;1416;594;3460;1952;970
644;9;1984;1357;1532;656;1717;2107;1123
645;10;1984;1203;1355;542;1390;1976;1033
646;11;1984;1247;1447;524;2271;1922;1061
647;12;1984;3003;2853;781;1716;2987;1606
648;1;1985;4552;5835;951;622;1842;1223
649;2;1985;5217;5336;921;1340;4115;1050
650;3;1985;5198;5489;1293;813;3581;1389
651;4;1985;3435;3859;953;1871;3533;1402
652;5;1985;2262;2541;707;846;2813;1369
653;6;1985;1840;1934;575;527;2312;1066
654;7;1985;1509;1598;508;524;2158;855
655;8;1985;1282;1370;439;435;1888;686
656;9;1985;1191;1414;457;418;1684;658
657;10;1985;1083;1440;354;404;1490;513
658;11;1985;1657;1846;442;651;1627;651
659;12;1985;1791;2462;490;225;1422;469
660;1;1986;3381;4331;539;385;2168;537
661;2;1986;2947;3851;779;1174;2502;1223
662;3;1986;3194;3336;920;1053;2985;1218
663;4;1986;2064;2345;610;1181;2360;822
664;5;1986;1991;1902;560;1653;2034;1411
665;6;1986;1357;1446;406;1445;1961;1197
666;7;1986;1304;1287;374;486;1560;599
667;8;1986;1375;1328;555;928;1773;1216
668;9;1986;1026;995;376;1450;1836;804
669;10;1986;889;1033;354;1273;1590;776
670;11;1986;952;1118;402;1093;1767;778
671;12;1986;2605;2793;1239;1602;1536;1962
672;1;1987;4367;3650;1306;1414;2800;1390
673;2;1987;4464;3732;2152;1939;4109;2419
674;3;1987;3079;3955;1135;658;3329;1139
675;4;1987;2630;3193;732;910;2682;990
676;5;1987;2014;2220;1104;5444;2666;2606
677;6;1987;1716;1639;1243;3267;2461;2947
678;7;1987;1382;1284;717;1765;1948;1510
679;8;1987;1048;1128;531;921;1581;935
680;9;1987;1217;1098;589;596;1506;971
681;10;1987;1252;1354;604;1184;1978;987
682;11;1987;1471;2011;620;1230;2366;1658
683;12;1987;2501;4579;806;681;2324;1112
684;1;1988;2587;4119;1150;598;2776;1031
685;2;1988;3622;5033;1204;737;2851;1151
686;3;1988;3533;5345;1544;731;4232;1396
687;4;1988;2442;3825;991;622;3258;935
688;5;1988;1834;2463;818;3477;2742;1696
689;6;1988;1663;2009;956;2721;2531;2053
690;7;1988;1199;1506;564;986;1852;941
691;8;1988;1014;1240;484;378;1697;703
692;9;1988;884;1137;407;356;1509;629
693;10;1988;1249;1600;582;658;1415;763
694;11;1988;1465;2056;701;561;1930;820
695;12;1988;1627;2950;695;352;1813;603
696;1;1989;3694;3374;2109;1815;3948;3110
697;2;1989;3806;4197;2208;2798;4291;2352
698;3;1989;3500;3708;1365;1422;3912;1814
699;4;1989;2191;2456;891;1260;3154;1140
700;5;1989;1569;1714;685;2046;2515;1275
701;6;1989;1416;1447;686;631;2127;952
702;7;1989;1199;1330;542;1060;1965;1007
703;8;1989;1178;1201;991;2185;2099;1756
704;9;1989;1155;1255;701;4316;2139;1875
705;10;1989;999;1091;521;2139;1544;1011
706;11;1989;1269;2063;678;1021;1790;1066
707;12;1989;2528;6076;867;538;2133;1192
708;1;1990;3877;5465;2315;2948;6366;7210
709;2;1990;1768;3287;946;1816;2766;2038
710;3;1990;2599;3203;1195;833;2314;1402
711;4;1990;2176;2353;835;1858;2587;1152
712;5;1990;1659;1954;710;2137;2433;1124
713;6;1990;1206;1434;542;4970;1798;1020
714;7;1990;1111;1298;593;2605;1804;1908
715;8;1990;1089;1129;593;3441;1612;1623
716;9;1990;1111;1229;602;3743;2136;1975
717;10;1990;1177;1321;604;3394;2224;1800
718;11;1990;1013;1362;656;2471;2099;1603
719;12;1990;1270;1539;765;1310;1989;1172
720;1;1991;3497;3208;865;506;2082;928
721;2;1991;4932;4038;2046;544;3915;2135
722;3;1991;4121;5638;1681;406;2424;1953
723;4;1991;4770;5810;2012;619;3064;1433
724;5;1991;2915;2752;1236;428;2387;1132
725;6;1991;1960;2023;770;2102;1850;1073
726;7;1991;1616;1595;769;1347;1644;1087
727;8;1991;1265;1329;551;958;1491;841
728;9;1991;1066;1209;474;375;1213;581
729;10;1991;1590;1605;884;1215;1680;1225
730;11;1991;1099;1779;524;1159;1332;883
731;12;1991;1850;2652;870;1540;1633;1590
732;1;1992;4094;4493;772;891;1699;859
733;2;1992;5634;7098;821;820;3158;1039
734;3;1992;3274;4452;923;1285;2784;2213
735;4;1992;2683;4135;918;1320;2881;2252
736;5;1992;2431;3090;859;3977;3482;3269
737;6;1992;1598;2031;526;5790;2107;2221
738;7;1992;1433;1663;476;3365;1629;1244
739;8;1992;1160;1378;471;2526;1503;1128
740;9;1992;1577;1592;652;1796;2003;1532
741;10;1992;2050;2128;701;1561;2109;1453
742;11;1992;2773;3683;929;1435;1833;1277
743;12;1992;2631;4409;1052;926;2095;1227
744;1;1993;2434;3331;1127;955;2280;1878
745;2;1993;4254;5192;1844;1497;2714;3200
746;3;1993;3589;3910;1203;1366;3646;2113
747;4;1993;3081;3516;1031;912;2884;1894
748;5;1993;1969;2223;706;2617;1954;1276
749;6;1993;1860;1927;854;2006;1926;1793
750;7;1993;1349;1429;554;1733;1468;1287
751;8;1993;1213;1388;570;1131;1383;969
752;9;1993;1243;1416;782;1832;1393;1455
753;10;1993;1385;1430;828;4792;1872;2292
754;11;1993;1171;1438;540;1045;1208;1017
755;12;1993;1793;3295;662;1414;1732;1195
756;1;1994;3920;6557;1213;640;2053;1473
757;2;1994;2743;4135;1339;1770;4005;2041
758;3;1994;2834;6503;994;1037;2163;1309
759;4;1994;2187;3868;780;767;2663;1113
760;5;1994;1839;2607;604;1905;1729;970
761;6;1994;1409;2062;548;3014;1539;1407
762;7;1994;1179;1721;516;2912;1431;1198
763;8;1994;989;1463;432;1174;1173;817
764;9;1994;752;1111;389;712;1185;635
765;10;1994;786;1174;425;1297;1013;674
766;11;1994;1237;1904;513;2304;1323;904
767;12;1994;1854;3254;876;1338;1247;981
768;1;1995;2548;3428;1224;5300;2866;3788
769;2;1995;6576;5894;3613;2402;2715;2864
770;3;1995;3659;3441;1535;1445;3537;1553
771;4;1995;2978;3261;1437;1092;2506;1742
772;5;1995;2137;2654;934;544;1857;1178
773;6;1995;1544;1818;714;802;1371;997
774;7;1995;1316;1463;731;2208;1386;1466
775;8;1995;986;1121;567;609;1197;820
776;9;1995;824;1054;490;1066;1015;940
777;10;1995;1360;1175;706;2418;1486;2065
778;11;1995;1331;1515;638;1075;1353;1193
779;12;1995;1930;2136;719;593;1242;913
780;1;1996;4294;3089;1737;1916;2267;1642
781;2;1996;2795;2266;1065;3253;2244;1742
782;3;1996;3488;2985;1747;2608;3222;2793
783;4;1996;2330;1994;847;2255;2445;1785
784;5;1996;1790;1465;674;537;1853;1070
785;6;1996;1350;1156;548;1296;1436;902
786;7;1996;1203;1009;509;2599;1312;838
787;8;1996;1014;912;518;1057;1198;779
788;9;1996;1486;984;729;1622;1269;1148
789;10;1996;1188;837;740;4412;1214;1401
790;11;1996;2429;2159;725;2270;1367;1394
791;12;1996;3424;2815;860;1975;1983;1610
792;1;1997;6827;6040;1801;1948;3559;4557
793;2;1997;4711;3378;2105;3709;6271;4863
794;3;1997;3351;3877;944;1726;2786;1830
795;4;1997;2348;3505;723;592;2054;1285
796;5;1997;1810;2418;729;1043;1781;1061
797;6;1997;2291;2372;1155;2576;2764;2134
798;7;1997;1519;1642;720;1997;1703;1749
799;8;1997;1140;1317;584;2944;1260;1193
800;9;1997;1047;1163;573;1389;1148;1236
801;10;1997;1171;1290;630;5245;1254;1699
802;11;1997;1585;1702;979;4732;1938;2462
803;12;1997;2863;3327;1067;2278;3461;1957
804;1;1998;2482;3044;899;2259;2045;1771
805;2;1998;3104;3946;1372;2902;2737;2134
806;3;1998;3047;3343;1516;2773;4320;3438
807;4;1998;2030;2363;1083;6568;3802;3356
808;5;1998;1707;1910;921;3930;2352;2300
809;6;1998;1500;1549;723;1098;1768;1589
810;7;1998;1101;1217;562;1952;1300;1434
811;8;1998;1087;1119;581;3700;1773;1620
812;9;1998;802;851;647;4388;1706;2362
813;10;1998;1275;1068;893;6051;2541;3728
814;11;1998;1284;1692;583;1616;2270;1447
815;12;1998;2309;2412;1228;1270;2489;1600
816;1;1999;4200;2859;2591;1123;4750;2697
817;2;1999;3653;2191;2214;1834;3778;2807
818;3;1999;3929;4088;1780;1299;3736;2033
819;4;1999;2219;2031;990;1527;2625;1544
820;5;1999;1548;1448;796;878;2081;1365
821;6;1999;1414;1198;810;2244;1945;1357
822;7;1999;1192;987;624;3413;1670;1779
823;8;1999;861;889;488;677;1447;953
824;9;1999;944;956;540;904;1491;1066
825;10;1999;648;819;439;1807;1170;811
826;11;1999;873;1378;429;808;1546;677
827;12;1999;1625;1865;711;684;1837;764
828;1;2000;4431;3494;1190;961;2360;910
829;2;2000;5115;4768;1389;1494;3665;2101
830;3;2000;3674;5495;1084;1460;4280;1393
831;4;2000;2422;3022;751;690;2968;827
832;5;2000;1531;1884;540;815;2253;647
833;6;2000;1313;1471;492;788;2060;660
834;7;2000;1155;1272;508;1521;1817;796
835;8;2000;1114;1159;520;939;1891;881
836;9;2000;1483;1476;744;4389;2411;2257
837;10;2000;823;907;418;3791;1679;1229
838;11;2000;1389;2076;657;1229;1758;1189
839;12;2000;2158;3513;1006;801;2663;1373
840;1;2001;2130;2815;979;1867;2724;1585
841;2;2001;1836;2049;1402;4043;3186;2611
842;3;2001;1540;2740;905;2039;2788;1652
843;4;2001;1311;2072;690;1305;2395;1046
844;5;2001;994;1560;560;1280;2074;1266
845;6;2001;837;1236;484;1781;2099;1382
846;7;2001;667;958;434;2008;1915;1246
847;8;2001;640;831;433;1450;1460;1136
848;9;2001;691;858;442;1146;1578;1070
849;10;2001;890;1078;721;3971;1767;1759
850;11;2001;1223;1777;570;1225;2209;1041
851;12;2001;2004;2750;954;1337;2902;1569
852;1;2002;3161;4551;1613;1547;3579;2107
853;2;2002;4444;5534;1950;1339;4136;1618
854;3;2002;3153;3765;1256;785;3777;1215
855;4;2002;1809;2402;739;446;2708;828
856;5;2002;1357;1766;674;2053;2335;1598
857;6;2002;1073;1397;521;905;1942;928
858;7;2002;967;1148;493;536;1983;824
859;8;2002;782;901;551;1140;1735;1054
860;9;2002;894;935;479;2050;1742;1155
861;10;2002;530;602;297;2872;1573;832
862;11;2002;1196;1140;531;2906;1769;1280
863;12;2002;2076;1804;809;2610;1804;1887
864;1;2003;3851;4265;1314;1144;3068;2016
865;2;2003;4514;3877;1668;1640;4180;2673
866;3;2003;3021;3667;972;1421;3159;1691
867;4;2003;2475;3370;765;630;3396;1522
868;5;2003;1714;1975;541;422;2046;1048
869;6;2003;1360;1510;524;1300;2024;1020
870;7;2003;1134;1266;444;1061;1568;1127
871;8;2003;877;1019;384;477;1566;803
872;9;2003;793;949;379;423;1451;752
873;10;2003;732;935;369;909;1531;786
874;11;2003;1075;1492;550;1546;1580;1022
875;12;2003;1965;2344;771;2670;2265;1212
876;1;2004;2572;3815;835;1579;1666;1618
877;2;2004;3350;7087;1418;681;1787;1706
878;3;2004;3675;5763;1001;520;3275;1040
879;4;2004;2593;4585;770;484;2399;936
880;5;2004;2029;2802;660;1814;2618;1693
881;6;2004;1906;2060;772;1750;2399;1942
882;7;2004;1425;1698;680;2202;1801;1547
883;8;2004;1045;1324;452;765;1505;916
884;9;2004;786;1034;360;757;1288;745
885;10;2004;1139;1186;496;2537;1787;1414
886;11;2004;1170;1432;576;2937;2157;1455
887;12;2004;3018;2789;755;998;1690;1223
888;1;2005;4298;5133;1545;899;4100;3081
889;2;2005;3821;4172;1170;459;3893;1677
890;3;2005;3209;5123;1098;312;2168;1174
891;4;2005;2101;2991;723;503;2681;930
892;5;2005;2036;2222;725;1650;1775;1012
893;6;2005;1802;1777;734;2826;2364;1038
894;7;2005;1354;1402;513;1377;1721;848
895;8;2005;1026;1102;415;933;1456;722
896;9;2005;1057;1046;431;4071;1476;1382
897;10;2005;859;889;510;5246;1799;1921
898;11;2005;1394;1849;536;2217;1289;1461
899;12;2005;2703;5802;814;664;3304;1182
900;1;2006;2762;4294;917;704;2927;1212
901;2;2006;3149;4037;1376;640;3536;1578
902;3;2006;3184;5823;1083;655;4062;1055
903;4;2006;2196;5524;1008;620;3399;992
904;5;2006;1430;3058;491;233;2223;637
905;6;2006;1142;2323;448;206;1997;615
906;7;2006;975;1988;466;221;1755;656
907;8;2006;850;1892;385;344;1355;505
908;9;2006;823;1733;412;841;1550;792
909;10;2006;1384;2406;494;965;1715;905
910;11;2006;1297;2819;346;744;1448;585
911;12;2006;2908;5882;958;1207;2413;1262
912;1;2007;7144;8075;2287;1406;4795;2512
913;2;2007;5795;8130;1460;1138;5999;1963
914;3;2007;2905;4509;998;1390;3342;1685
915;4;2007;2184;3072;574;2060;2310;962
916;5;2007;1732;2275;581;3982;2186;1017
917;6;2007;1557;1859;521;1517;2033;862
918;7;2007;1328;1588;729;854;1786;1513
919;8;2007;1155;1259;561;543;1844;904
920;9;2007;742;1005;326;383;1259;600
921;10;2007;718;1065;306;804;1128;517
922;11;2007;1446;1389;702;2159;1766;1059
923;12;2007;1726;2314;720;1375;1698;1122
924;1;2008;2390;3054;949;1350;2093;1524
925;2;2008;4305;5519;1261;779;3913;1436
926;3;2008;4117;5728;1111;637;4189;1270
927;4;2008;3367;4796;920;941;3496;1258
928;5;2008;2282;2867;793;1727;2681;1606
929;6;2008;1754;2125;700;1771;2144;1239
930;7;2008;1316;1654;453;1206;1960;830
931;8;2008;1156;1325;534;1913;1734;1690
932;9;2008;904;1126;361;1067;1389;850
933;10;2008;1104;1208;493;2785;1752;1247
934;11;2008;1531;1359;446;3207;1738;1075
935;12;2008;2429;2739;530;703;866;623
936;1;2009;4130;3783;810;659;2161;1494
937;2;2009;5050;4349;1412;650;3851;2142
938;3;2009;3537;3283;984;576;3053;1188
939;4;2009;3576;3670;629;260;2829;748
940;5;2009;2132;2268;465;586;1899;775
941;6;2009;1746;1822;462;899;1864;775
942;7;2009;1570;1525;575;1992;1742;2089
943;8;2009;1345;1221;718;2413;1839;1771
944;9;2009;1875;1451;924;3554;2216;2761
945;10;2009;1882;1544;742;4950;2204;3456
946;11;2009;1761;2243;794;2057;2331;2514
947;12;2009;3826;4320;2034;2060;3570;2737
948;1;2010;4401;4380;2528;2434;5161;3058
949;2;2010;3547;3085;2080;2171;5050;4246
950;3;2010;3429;3790;1384;1881;3968;1940
951;4;2010;2478;3100;1201;3609;3519;2346
952;5;2010;1621;1750;707;4029;2503;1693
953;6;2010;1422;1502;626;1563;2134;1153
954;7;2010;1207;1232;669;1449;1748;1091
955;8;2010;889;1025;478;1239;1467;893
956;9;2010;818;744;442;439;1697;704
957;10;2010;1263;1123;663;971;2374;1051
958;11;2010;1685;2227;480;835;1656;858
959;12;2010;2655;2843;945;3386;1994;1579
960;1;2011;5336;5059;2419;2115;3311;2170
961;2;2011;2745;2942;1388;3560;3913;2417
962;3;2011;5356;7693;2102;1833;6683;1605
963;4;2011;3203;4328;1176;1621;4671;1422
964;5;2011;2153;2614;755;572;3027;902
965;6;2011;1808;2034;743;713;2581;965
966;7;2011;1422;1558;548;2992;2240;1109
967;8;2011;1165;1230;472;5069;1917;1771
968;9;2011;871;866;422;3870;1733;972
969;10;2011;1193;1389;706;2175;1890;1826
970;11;2011;1341;1363;827;1628;1935;1354
971;12;2011;2716;3034;843;701;1459;930
972;1;2012;4985;5394;1492;1012;3023;1443
973;2;2012;2922;3977;1189;758;2907;1088
974;3;2012;2073;3017;746;738;2366;929
975;4;2012;1793;2585;585;994;2292;868
976;5;2012;1749;1875;838;1512;2471;1143
977;6;2012;1869;1720;1379;3591;2960;3449
978;7;2012;1464;1223;832;1653;2262;1788
979;8;2012;942;906;502;1463;1626;1007
980;9;2012;778;753;482;486;1588;865
981;10;2012;748;707;440;821;1597;761
982;11;2012;1110;1592;488;872;1684;898
983;12;2012;1550;1643;839;757;2215;1108
984;1;2013;3126;2693;1415;1816;2144;1606
985;2;2013;3794;3843;1138;1355;3734;2103
986;3;2013;2959;3264;1144;3048;2981;2085
987;4;2013;2737;4082;999;1607;3646;2426
988;5;2013;1586;2051;586;1285;2118;1388
989;6;2013;2026;1914;1029;5144;2744;3307
990;7;2013;1358;1240;849;3690;2137;2896
991;8;2013;1060;934;519;1690;1707;1352
992;9;2013;913;787;468;2172;1617;1214
993;10;2013;1319;1096;689;2319;1949;1863
994;11;2013;1255;1528;504;1055;1479;1077
995;12;2013;2149;2985;560;1331;1856;944
996;1;2014;1484;2000;611;1899;2003;1234
997;2;2014;920;1696;398;782;1808;850
998;3;2014;1202;3115;633;2170;2663;1322
999;4;2014;1090;3151;474;1546;2337;1272
1000;5;2014;745;1650;337;1713;1993;1005
1001;6;2014;684;1236;324;7945;1874;2024
1002;7;2014;624;1112;286;2590;1600;1070
1003;8;2014;593;923;252;911;1701;787
1004;9;2014;458;678;260;2125;1533;1168
1005;10;2014;364;473;229;2967;1343;1175
1006;11;2014;640;1106;360;1320;1698;883
1007;12;2014;1589;2905;641;1008;2701;1328
